COD_RH_MUNICIPIO;COD_MUNICIPIO;SGL_PAIS;SGL_DEPARTAMENTO;TXT_NME_MUNICIPIO;TXT_NME_MUNICIPIO_FILTRO
0000030155;27;EUA;N/A;EEUU;EEUU
0000030155;42;SUI;N/A;SUIZA;SUIZA
0000030155;9;N/A;N/A;Lima;LIMA
0000030180;1;EQU;N/A;Quito;QUITO
0000030210;1;N/A;N/A;Nepal;NEPAL
0000030210;2;N/A;N/A;CORPOICA;CORPOICA
0000030236;1;N/A;N/A;Melville- USA;MELVILLE USA
0000030236;2;N/A;N/A;PARIS, FRANCIA;PARIS FRANCIA
0000030236;3;N/A;N/A;www.journals.uchicago.edu/AJHG;WWWJOURNALSUCHICAGOEDU/AJHG
0000030465;6;N/A;N/A;Santiago de Chile;SANTIAGO DE CHILE
0000030546;6;N/A;N/A;Fundación Index;FUNDACION INDEX
0000030546;7;N/A;N/A;Granada (España);GRANADA ESPANA
0000030554;10;N/A;N/A;Washington;WASHINGTON
0000030554;12;N/A;N/A;Granada (España);GRANADA ESPANA
0000030554;13;N/A;N/A;Washington, D.C.;WASHINGTON DC
0000030554;14;EUA;N/A;Boca Raton;BOCA RATON
0000030554;8;N/A;N/A;Granada;GRANADA
0000030627;1;N/A;N/A;Rio de Janeiro;RIO DE JANEIRO
0000030635;9;ARG;N/A;Buenos Aires;BUENOS AIRES
0000030643;10;N/A;N/A;Estado de México;ESTADO DE MEXICO
0000030643;11;MEX;ED;Mexico D.F;MEXICO D.F
0000030643;19;MEX;ED;Estado de Mexico;ESTADO DE MEXICO
0000030643;27;MEX;DF;Ciudad de México;CIUDAD DE MEXICO
0000030643;29;LUX;N/A;Luxemburgo;LUXEMBURGO
0000030732;2;N/A;N/A;Universidad de Antioquia;UNIVERSIDAD DE ANTIOQUIA
0000030783;2;N/A;N/A;Instituto Tecnológico Metropol;INSTITUTO TECNOLOGICO METROPOL
0000030783;4;N/A;N/A;Politécnico Jaime Isaza Cadavi;POLITECNICO JAIME ISAZA CADAVI
0000030821;1;N/A;N/A;Armenia;ARMENIA
0000030821;2;N/A;N/A;Brasilia;BRASILIA
0000030821;4;EUA;N/A;bethesda;BETHESDA
0000030821;6;EUA;N/A;San Diego;SAN DIEGO
0000030821;7;EUA;N/A;Mansfield;MANSFIELD
